volume,nr_RG,abbreviation,gold,system,verdict,step,candidate_miss,candidates,verdict_once,expansion_once,context
6,4628,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,1453 L 482 101 r.
6,5255,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,1449 S 434 97 r. dec. etc. eccl. s.
7,1083,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,1455 S 485 238 r. litig. contra quond. Johannem
8,547,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,L 548 A 24 r. Abb. etc. mon. s.
8,547,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,512 41 v 43 r.
8,4669,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,1461 S 537 226 r. Prep. etc. eccl. N.
8,4669,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,59 S 525 267 r. Mag. civ. proconsules consules
9,419,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,1469 L 671 291 r.
9,1746,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,1466 S 602 199 r. Prep. et conv. mon.
9,1746,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,1470 A 18 231 r.
9,2155,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,642 113 v 115 r.
9,5702,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,1470 S 656 149 r. Precept. et fratres dom.
9,6104,r.,r.,r.,no_gold_label,"","","",no_gold_label,r.,1469 L 703 177 r.
5,981,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1439 S 363 211 rs.
5,1482,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1447 V 365 477 rs.
5,1954,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1432 S 276 153 rs. et Sigismundus duces Saxonie
5,2286,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1433 S 289 254 rs. magistercivium consules iurati et
5,6853,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1432 S 273 241 rs. vicarii et beneficiati eccl.
5,6853,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,dioc. L 304 270 rs. vicarii et beneficiati eccl.
5,7397,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1435 S 316 212 rs. Gerlacus prior et fr.
5,7397,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1435 S 303 299 rs. dec. et capit. eccl.
5,8486,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,v L 387 246 rs. par. eccl. s. Nicolai
5,8513,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,rs L 359 71 rs. Friderico II. iuveni marchione
5,8895,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,v L 317 307 rs.
6,126,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1448 V 387 331 rs. eccl. s. Georgii mart.
6,427,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1451 S 449 126 rs.
6,921,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,r V 387 330 rs.
6,1073,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1453 S 467 294 rs.
6,5255,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1449 S 434 97 rs. dec. etc. eccl. s.
6,5322,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,48 V 388 167 rs.
6,5322,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1453 S 467 201 rs. capel. in castro Halberstad.
6,5915,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,48 V 388 91 rs.
7,432,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1457 S 498 112 rs. V 460 8 vss.
7,1083,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1457 S 499 183 rs.
7,1083,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1455 S 479 63 rs. Frederici marchionis Brandenburg. S.
7,2487,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1457 S 502 53 rs. Abb. etc. mon. ss.
8,324,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1458 S 514 164 rs. V 498 128 vs.
8,4104,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1464 S 574 94 rs.
8,4669,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,61 S 537 226 rs. Abb. etc. mon. s.
8,4669,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1463 S 561 236 rs. V 512 208 rss.
9,589,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,vs L 654 51 rs.
9,730,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,rs L 654 137 rs.
9,1004,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,v L 655 313 rs.
9,1835,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1470 S 662 222 rs.
9,2155,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1469 S 641 275 rs. fac. erigendi dom. pro
9,5702,rs.,rs.,rs.,no_gold_label,"","","",no_gold_label,rs.,1470 S 657 106 rs.
5,2286,rss.,rss.,rss.,no_gold_label,"","","",no_gold_label,rss.,1434 S 293 39 rss. par. eccl. ss. Nicolai
5,9465,rss.,rss.,rss.,no_gold_label,"","","",no_gold_label,rss.,1447 V 365 475 rss. locus W. sub dominio
6,5255,rss.,rss.,rss.,no_gold_label,"","","",no_gold_label,rss.,rs L 481 187 rss.
8,4669,rss.,rss.,rss.,no_gold_label,"","","",no_gold_label,rss.,rs. V 512 208 rss.
8,4732,rss.,rss.,rss.,no_gold_label,"","","",no_gold_label,rss.,1461 S 548 54 rss.
9,5330,rss.,rss.,rss.,no_gold_label,"","","",no_gold_label,rss.,vss L 614 263 rss.
9,6302,rss.,rss.,rss.,no_gold_label,"","","",no_gold_label,rss.,vs L 652 37 rss.
4,1307,s.,s.,sub,no_gold_label,step 1 (rule),"","",no_gold_label,sub,Magunt. dioc. de benef. s. e. p. pro Thoma
4,1307,s.,s.,sub,no_gold_label,step 1 (rule),"","",no_gold_label,sub,mil. gen. de benef. s. e. p. pro Frederico
5,2286,s.,s.,sub,no_gold_label,step 2 (candidates),yes,sanctus; sine; soluta; solutus; sub; super,no_gold_label,s.,edificiis notabilibus prope muros s. d. 25 sept. 30
5,3472,s.,s.,sanctuspresbiterdies,no_gold_label,step 2 (candidates),yes,sanctus; sine; soluta; solutus; sub; super,no_gold_label,s.,r de uberiori indulg. s. p. d. S 397
2,2322,sept.,sept.,september,no_gold_label,step 1 (rule),"","",no_gold_label,september,Hamburg. Bremen. dioc. 15 sept. 1395 L 36 198
3,171,sept.,sept.,september,no_gold_label,step 1 (rule),"","",no_gold_label,september,dioc. de indulg. 17 sept. 1409 L 136 103
3,1969,sept.,sept.,september,no_gold_label,step 1 (rule),"","",no_gold_label,september,dioc. de indulg. 10 sept. 1411 L 158 106
5,9465,supplic.,supplic.,supplicatio,no_gold_label,step 2 (candidates),yes,supplicare; supplicatio,no_gold_label,supplic.,Frederici II. marchionis Brandenburg. supplic. in cuius par. eccl.
5,9465,supplic.,supplic.,supplicatio,no_gold_label,step 2 (candidates),yes,supplicare; supplicatio,no_gold_label,supplic.,Frederici II. marchionis Brandenburg. supplic. in cuius par. eccl.
4,8386,tab.,tab.,tabellionatus,no_gold_label,step 1 (rule),"","",no_gold_label,tabellionatus,S 201 78 v. tab. 5 febr. 1427 L
2,370,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,et V 314 236 v. et Benedictus abb. s.
2,370,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1396 L 45 122 v. m. evoc. can. Magdeburg.
2,878,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1400 L 90 106 v.
2,913,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1399 L 69 185 v. par. eccl. s. Catherine
2,916,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,mai. 1402 R 331 v. eccl. b. Marie dom.
2,916,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1402 L 100 158 v.
2,916,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1401 L 100 153 v. eccl. b. Marie dom.
2,919,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1401 L 100 110 v.
2,2229,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1401 L 100 114 v.
2,2411,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1401 L 100 57 v. indulg. pro omnibus qui
2,2411,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1393 L 30 327 v. conc. ius patr. 4
2,2411,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1400 L 80 88 v. lic. fundandi collegium c.
2,2495,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1401 L 89 142 v.
2,2495,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,mart. 1395 R 163 v. eccl. conventus o. pred.
2,3398,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1403 L 113 151 v.
2,3412,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1401 L 90 79 v.
2,5209,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,aug. 1401 R 307 v.
2,5332,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1402 L 104 223 v.
2,5439,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1401 L 89 127 v.
2,5697,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1391 L 24 242 v.
2,6133,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1402 L 104 91 v.
2,7530,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1392 L 25 202 v.
2,7567,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1391 L 12 212 v.
3,171,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1409 L 136 103 v.
3,228,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1414 L 185 278 v. capel. s. Georgii in
3,228,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1411 L 158 142 v.
3,535,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1410 L 147 162 v.
3,556,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1413 L 173 205 v.
3,1008,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1415 L 185 52 v.
3,1629,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1411 L 153 29 v.
3,1969,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1411 L 158 106 v.
3,1990,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1415 L 175 45 v. eccl. ss. Johannis bapt.
3,1990,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1414 L 175 171 v. eccl. ss. Johannis bapt.
3,1990,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1415 L 175 44 v. eccl. ss. Johannis bapt.
4,277,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1423 S 169 264 v. magistra etc. mon. in
4,277,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1423 I 112 308 v. capit. eccl. s. Georgii
4,1253,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1429 S 249 246 v.
4,1309,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1421 S 152 187 v.
4,1318,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1421 L 212 260 v.
4,1421,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1421 L 222 217 v.
4,2363,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1424 S 182 54 v.
4,2962,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1420 L 208 222 v. fraternitas sacerdotum et scolarium
4,2980,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1421 S 160 61 v. PK n. 112 114
4,2980,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1418 S 110 287 v. de indulg. pro par.
4,2980,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1423 S 172 62 v. de lic. el. conf.
4,2980,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1428 S 225 262 v. et Johannes eius natus
4,2980,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1421 S 159 7 v. ref. conc. ingr. mon.
4,2980,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1418 S 112 8 v. de conf. privil. de
4,2980,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1418 S 118 253 v. de lic. intrandi in
4,2980,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1425 S 188 253 v. et proconsules etc. op.
4,2980,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1425 S 188 253 v. de commissione materie dissensionis
4,3100,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1421 L 212 135 v. de conc. iuris patron.
4,3100,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1421 S 151 21 v. de indulg. pro par.
4,3100,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1420 L 212 137 v. de conf. statutorum sup.
4,3100,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1424 S 177 38 v. de indulg. pro par.
4,3705,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1420 S 138 153 v.
4,3706,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1428 L 286 7 v.
4,3877,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1426 S 199 256 v.
4,5597,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1419 S 125 79 v.
4,5759,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1429 L 285 296 v.
4,5813,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1422 L 237 156 v.
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1425 IE 383 28 v. rect. par. eccl. in
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,90 L 268 67 v. de prorog. lic. retinendi
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,L 0 2 18 v. de conf. archidiac. Stolpen.
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,v L 188 141 v. ex utr. de nob.
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1420 S 149 243 v. archidiac. Stolpen. in eccl.
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,incompat. L 189 15 v. ref. disp. sup. incompat.
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,18 S 116 50 v. m. informandi sup. processu
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,176 L 233 172 v. de conf. par. eccl.
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1423 S 165 236 v. de conf. gr. n.
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1419 DC 5 161 v. m. de non molestando
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1418 DC 4 187 v. m. de non molestando
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1423 DC 7 108 v. m. quod satisfaciat Conrado
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1417 DC 4 16 v. presb. de mil. gen.
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1427 S 218 190 v. de prorog. lic. retinendi
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1424 DC 8 97 v. de conf. can. et
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1419 DC 5 96 v. m. informandi sup. gestis
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,19 DC 5 67 v. ipse deputat succollectores videlicet
4,6189,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1426 S 202 89 v. de prov. si neutri
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1428 S 224 277 v. ref. sup. restitutione ad
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1426 L 264 152 v. m. induci in can.
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1422 S 164 97 v. de surrog. ad iura
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1420 M 1 122 v. presb. Magdeburg. servitor forrarie
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,v L 225 77 v. oblig. sup. annat. can.
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,cass. L 216 265 v. oblig. sup. annat. par.
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1425 S 181 230 v. ref. surrog. ad ius
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,297 L 276 176 v. rect. par. eccl. in
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1426 A 2 130 v. m. induci in can.
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1426 L 264 153 v. rect. par. eccl. b.
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1426 S 201 78 v. tab. 5 febr. 1427
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1430 S 251 128 v. de prorog. sup. can.
4,8386,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1431 A 5 81 v.
4,10237,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1427 L 269 306 v.
4,10238,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,v L 286 269 v.
4,10537,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1419 S 130 293 v. mon. Marie v. et
4,10537,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1419 S 130 293 v. mon. Marie v. et
4,10537,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1425 V 358 148 v.
4,10537,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1418 S 110 197 v. mon. Marie v. et
4,11033,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1421 L 222 160 v.
4,11069,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,v L 212 260 v. mon. monial. throni s.
4,11069,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1421 S 153 255 v.
4,11967,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1421 S 152 187 v.
4,14862,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1423 S 168 234 v. de indulg. pro colleg.
4,14862,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1420 S 141 225 v. confess. 6 oct. 1421
4,14862,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1423 L 236 304 v. de reformatione mon. in
4,14862,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1423 S 169 97 v. interd. 19 aug. 1423
4,14862,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1423 S 170 62 v. de lic. facere celebrare
4,14862,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1425 S 191 279 v. de indulg. pro par.
4,14862,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1423 L 236 297 v. rem. plen. 19 aug.
4,14897,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1426 S 201 78 v.
4,15028,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,v L 250 263 v.
5,1601,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,rs L 347 29 v.
5,1954,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1435 S 316 262 v. iidem de lic. div.
5,1954,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,d. S 311 298 v.
5,2286,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1433 S 289 254 v.
5,2286,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1433 S 289 254 v. magistercivium consules iurati et
5,2472,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1435 S 315 15 v.
5,6853,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1436 S 322 70 v. capel. b. Marie in
5,7372,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1440 S 367 130 v.
5,8363,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1442 S 385 92 v. mon. ad Coronam Marie
5,8486,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1445 S 405 283 v.
5,9557,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,rs L 325 114 v.
6,568,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,388 29 r 30 v. mon. b. Marie virg.
6,922,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1447 S 421 171 v.
6,5255,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1449 S 434 97 v. dec. etc. eccl. s.
6,6006,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,r L 487 113 v.
7,1083,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1455 S 483 154 v. subdiac. de n. prom.
7,1083,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1457 S 499 27 v. de horis secundum morem
7,2487,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,531 49 r 50 v.
8,547,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,d. I 328 91 v. Proconsules consules et univ.
8,4669,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,d. I 329 149 v. Fraternitas presb. et cler.
9,597,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,655 229 r 230 v.
9,1057,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,rs L 646 108 v.
9,2155,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,dioc. I 331 161 v. de indulg. 10 an.
9,3474,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,635 169 v 171 v.
9,5381,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,655 229 r 230 v.
9,5679,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,655 229 r 230 v.
9,5684,v.,v.,v.,no_gold_label,"","","",no_gold_label,v.,1469 S 641 294 v.
5,7397,val.,val.,valere,no_gold_label,step 2 (candidates),yes,valere; valor,no_gold_label,val.,et 2 capp. sustentari val. et etiam pens. annua
5,885,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1438 S 350 168 vs. proconsules consules et univ.
5,885,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1435 S 307 228 vs. par. eccl. s. Andree
5,1954,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1433 V 370 127 vs. et Margareta ux. alt.
5,6853,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1441 S 376 3 vs.
5,6853,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1435 S 316 276 vs. vicarii et beneficiati eccl.
5,7372,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1435 S 312 223 vs. dec. et capit. eccl.
5,7397,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1435 S 303 299 vs. dec. et capit. eccl.
5,7397,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1434 S 297 74 vs. dec. et capit. eccl.
5,8363,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,vs L 387 246 vs.
5,9465,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1447 V 365 474 vs.
6,568,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1448 V 388 97 vs. par. eccl. ss. Mathie
6,3976,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1448 V 387 330 vs.
6,5229,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1450 S 443 108 vs.
6,5255,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1451 DC 26 193 vs. dec. etc. eccl. s.
6,5322,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1452 S 462 88 vs. eccl. ss. Petri et
6,6002,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1450 L 466 240 vs.
7,1083,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1457 S 499 27 vs. unus ex patronis par.
7,1083,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1455 S 486 83 vs. de n. resid. 27
7,2477,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1457 S 499 213 vs. V 462 308 vss.
8,324,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,rs. V 498 128 vs.
8,547,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,59 S 522 107 vs. s. d. I 328
8,1132,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1463 S 570 246 vs.
8,2974,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1460 S 531 251 vs. V 504 58 vss.
8,4732,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1459 S 520 91 vs. de indulg. 7 an.
8,5423,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1459 L 560 203 vs.
8,5760,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1458 S 513 284 vs.
9,528,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1468 S 634 211 vs.
9,4226,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,vs L 636 213 vs.
9,5330,vs.,vs.,vs.,no_gold_label,"","","",no_gold_label,vs.,1468 S 624 198 vs. Op. P. Havelberg. dioc.
5,885,vss.,vss.,vss.,no_gold_label,"","","",no_gold_label,vss.,dioc. L 342 298 vss.
5,7372,vss.,vss.,vss.,no_gold_label,"","","",no_gold_label,vss.,Nuemburg. L 329 21 vss. magistricivium consules et cives
6,126,vss.,vss.,vss.,no_gold_label,"","","",no_gold_label,vss.,1448 V 407 57 vss.
6,5255,vss.,vss.,vss.,no_gold_label,"","","",no_gold_label,vss.,48 V 388 98 vss. par. eccl. s. Nicolai
7,432,vss.,vss.,vss.,no_gold_label,"","","",no_gold_label,vss.,rs. V 460 8 vss.
7,2477,vss.,vss.,vss.,no_gold_label,"","","",no_gold_label,vss.,vs. V 462 308 vss.
7,2510,vss.,vss.,vss.,no_gold_label,"","","",no_gold_label,vss.,1457 V 460 73 vss.
8,2974,vss.,vss.,vss.,no_gold_label,"","","",no_gold_label,vss.,vs. V 504 58 vss.
8,5719,vss.,vss.,vss.,no_gold_label,"","","",no_gold_label,vss.,1464 S 574 49 vss.
9,2155,vss.,vss.,vss.,no_gold_label,"","","",no_gold_label,vss.,m. L 614 78 vss. de indulg. 10 an.
9,2155,vss.,vss.,vss.,no_gold_label,"","","",no_gold_label,vss.,1465 S 585 224 vss. de lic. erig. domum
8,547,wic.,wic.,wic.,no_gold_label,"","","",no_gold_label,wic.,Brunswic. Brun wic. Brunswicen. Prep. etc. eccl.
4,277,A.,Aldenburg,A.,not_expanded,"","","",not_expanded,A.,magistra etc. mon. in A. o. Prem. Trever. dioc.
4,277,A.,Aldenburg,A.,not_expanded,"","","",not_expanded,A.,s. Georgii in castro A. Nuemburg. dioc. in colleg.
4,2980,A.,Augustini,A.,not_expanded,"","","",not_expanded,A.,o. fr. herem. s. A. conventui in Kulmach d.
7,432,Abb.,Abbas,Abb.,not_expanded,"","","",not_expanded,Abb.,Choryn Abb. etc. mon. o. Cist.
7,2487,Abb.,Abbas,Abb.,not_expanded,"","","",not_expanded,Abb.,Regalis Lutter Abb. etc. mon. ss. Petri
7,2487,Abb.,Abbas,Abb.,not_expanded,"","","",not_expanded,Abb.,S 502 53 rs. Abb. etc. mon. ss. Petri
