Abkürzung,Auflösung,Übersetzung,Anmerkungen,Wortstamm,Deklination,RG1,RG2,RG3,RG4,RG5,RG6,RG7,RG8,RG9,Bemerkungen_1,Bemerkungen_2,volumes
excom.,excommunicare,exkommunizieren;,,"excommunic, excommunicav, excommunicat",a-Konj.,excom.; excommunicare; excommunicatio,excom.; excommun.; excommunicare; excommunicatio,excom.; excommunicare; excommunicatio,excom.; excommunicare,excom.; excommunicare,excom.,excom.,excom.; excommunicare,excom.; excommunicare,,,1|2|3|4|5|6|7|8|9|10
excom.,excommunicatio,Exkommunikation,,excommunication -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
exec.,executere,,,"executi, execuss, execuss",gem.-Konj.,executor,exec.; execut.; executere; executio; executor,execut.; executio; executor,executere; executio; executor,exec.; executio; executor,exec.,exec.; executere; executio; executor,exec.; executere; executio; executor,exec.; executio; executor,,,2|3|4|5|6|7|8|9|10
exec.,executio,,,execution -is,kons.,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
exec.,executor,,,executor -is,kons.,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
exemt.,exemtio,"Befreiung, Exemtion, Ausnahmestellung",,,,,,,,,,,,,,,2
exemt.,exemtus,"exemt, ausgenommen (von der ordentlichen kirchlichen Jurisdiktion);",siehe exempt.,,,,,,,,,,,,,,2
exempt.,exemptio,"Befreiung, Exemtion, Ausnahmestellung",,exemption -is,kons.,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
exempt.,exemptus,"exemt, ausgenommen (von der ordentlichen kirchlichen Jurisdiktion);",,exemt/exempt -i,o/a (Adj.),,exemt.; exemptio; exemtio; exemptus; exemtus,exempt.; exemptio; exemtio,exempt.; exemptio; exemtio; exemptus,exempt.; exemptio; exemtio; exemptus; exemtus,exempt.; exemptio; exemtio; exemptus; exemtus,exempt.; exemptio; exemptus,exempt.; exemptus,exempt.; exemptio; exemptus,,,2|3|4|5|6|7|8|9|10
expect.,(gratia ) expectativa,,,grati -e; expectativ -e,a; o/a (Adj.),,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
expect.,expectatio,"Anwartschaft (auf ein noch nicht freies Kirchenamt), Exspektanz",,expectation -is,kons.,expectare,expectativa,,expect.; exspect.; expectare,expect.; expectare; expectativa,expect.; expectare,expect.; expectare,expect.; expectare,expect.; expectare; expectativa,,"""expect."" vielleicht auch als Abk. für ""expectantia"" verwendet, aber das vermag ich nicht zu entscheiden; ""expectantia"" kommt in Bd. 2,4,5,8 vor",1|2|3|4|5|6|7|8|9|10
exped.,expedire,"(Urkunden) befördern, absenden, die Ausstellung (von Urkunden) betreiben;",,"expedi, expediv, expedit",i-Konj.,exped.,exped.; expeditio,exped.,exped.; expeditio,exped.; expeditio,exped.,exped.,exped.; expeditio,exped.; expeditio,,"in allen Bd. auch ""expedire""; folgende Zeile ohne Auflösung entfernt (Übersetzung: Urkundenexpedition, -ausstellung)",1|2|3|4|5|6|7|8|9|10
exped.,expeditio,,,expedition -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
express.,expressio,Erklärung,,expression -is,kons.,,,,,,,,,,,,5|6|7|8|9|10
express.,expressus,ausdrücklich;,,express -i,o,expressus,,,expressio; expressus,express.; expressio; expressus,express.; expressio; expressus,express.; expressus,express.; expressus,express.; expressio; expressus,,,5|6|7|8|9|10
exten.,extendere,"ausdehnen, erweitern;",,"extend, extend, extens",kons.-Konj.,,exten.; extendere,exten.,extendere; extensio,exten.; extendere,exten.; extendere,exten.; extendere,exten.; extendere,exten.; extendere; extensio,,,2|3|5|6|7|8|9|10
exten.,extensio,"Ausdehnung, Erweiterung",,extensio -is,kons.,,,,,,,,,,,,2|3|5|6|7|8|9|10
extin.,extinctio,,,extinction -is,kons.,,,,,,,,,,,,8
extin.,extinguere,,,"extingu, extinx, extinct",kons.-Konj.,,extinctio,,extinguere; extinctio,extinguere; extinctio,extinctio,extinguere; extinctio,extin.; extinguere,,,,8
facult.,facultas,"Vollmacht, Fakultät","fac. 3,4,6,7,9",facultat -is,kons.,fac.; facult,fac.,fac.,fac.,fac.; facult.,fac.; facult.,fac.,fac.; facult.,fac.,,,1|5|6|8|10
fam.,familiaris,Familiar,,familiar -is,gem.,,fam.,fam.,fam.,fam.,fam.,fam.,fam.,fam.,,,2|3|4|5|6|7|8|9|10
fam.,familiaritas,,"2,7,8",familiaritat -is,kons.,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
famil.,familiaris,Familiar,,familiar -is,gem.,famil.,,,famil.,,,,,,,,1
famil.,familiaritas,,,,,,,,,,,,,,,,1
fil.,filia,Tochter;,,fili -e,a,,fil.,,fil.,fil.,fil.,fil.,fil.,fil.,,,2|4|5|6|7|8|9|10
fil.,filialis,"Tochter(-kirche, -Kapelle);",,filial -is,i (Adj.),,fil.,fil.,fil.,fil.,fil.,fil.,fil.,fil.,,,2|4|5|6|7|8|9|10
fil.,filius,Sohn,,fili -i,o,,,,,,,,,,,,2|4|5|6|7|8|9|10
filial.,filialis,"Tochter(-kirche, -Kapelle);",,filial -is,i (Adj.),,,filial.,filial.,,,,,,,,3|4
fr. kalend.,fratres kalendarum,,,fratr -um; kalendarum,kons. (Pl.); -,,fr. kalend.; fr. kalendarum; fratr. Kalendarum; fratres kalend.,,,,fr. kalendarum; fraternitas kalendarum,fraternitas kalendarum,fr. kalendarum,fr. kalandarum (mit a!),,,2
fund.,fundare,"gründen, stiften;",,"fund, fundav, fundat",a-Konj.,,fund.,fund.,fund.,fund.,fund.,fund.,fund.,fund.,,,2|3|4|5|6|7|8|9|10
fund.,fundatio,"Gründung, Stiftung;",,fundation -is,kons.,,fund.,fund.,fund.,fund.,fund.,fund.,fund.,fund.,,,2|3|4|5|6|7|8|9|10
fund.,fundator,"Gründer, Stifter",,fundator -is,kons.,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
gen.,generalis,"allgemein, General-","in Bd. 1,4",general -is,i (Adj.),gen.,,,gen.,gen.,gen.,gen.,gen.,gen.,,,1|2|3|4|5|6|7|8|9|10
gen.,genitus,abstammend (bei Geburtsmakel),,genit -i,o,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
gen.,genus,Geschlecht;,,gener -is,kons. (n.),gen.,gen.,gen.,gen.,gen.,gen.,gen.,gen.,gen.,,,1|2|3|4|5|6|7|8|9|10
gr.,gratia,(päpstlicher) Gunsterweis,,grati -e,a,gr.,gr.,gr.,gr.,gr.,gr.,gr.,gr.,gr.,,,1|2|3|4|5|6|7|8|9|10
gr.,grossus,,4,gross -i,o,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
habil.,habilitare,für fähig erklären (zur Ausübung klerikaler Funktionen);,,"habilit, habilitav, habilitat",a-Konj.,,,,habil.,habil.,,habil.,habil.,habil.,,,4|5|7|8|9|10
habil.,habilitas,Fähigkeit;,,habilitat -is,kons.,,,,,,,,,,,,4|5|7|8|9|10
habil.,habilitatio,(Wiederherstellung der) Befähigung,,habilitation -is,kons.,,,,,,,,,,,,4|5|7|8|9|10
hosp.,hospitale,"Herberge, Hospital;",,hospital -is,kons.,hosp.,hosp.,hosp.,hosp.,hosp.,hosp.,hosp.,hosp.,hosp.,,,1|2|3|4|5|6|7|8|9|10
hosp.,hospitalis,,1,hospital -is,i (Adj.),,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
hosp.,hospitium,Herberge,,hospiti -i,o (n.),,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
id.,identisch,,4; auch in 2;Bedeutung in beiden auch idem?,,,,id.,,id.,,,,,,,,2|4|5|6|7|8|9|10
imper.,imperator,Kaiser;,,imperator -is,kons.,,imper.,imper.,,imper.,,imper.,imper.,imper.,,,1|2|3|5|6|7|8|9|10
imper.,imperialis,kaiserlich,,imperial -is,i (Adj.),,,,,,,,,,,,1|2|3|5|6|7|8|9|10
imper.,imperium,Reich;,,imperi -i,o (n.),,,,,,,,,,,,1|2|3|5|6|7|8|9|10
incompat.,incompatibilis,unvereinbar,,incompatibil -is,i (Adj.),,incompat.,incompat.,incompat.,incompat.,incompat.,incompat.,incompat.,incompat.,,,2|3|4|5|6|7|8|9|10
incompat.,incompatibilitas,,4,incompatibilitat -is,kons.,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
indulg.,indulgentia,Nachlaß (von Sündenstrafen),,indulgent -e,a,indulg.,indulg.,indulg.,indulg.,indulg.,indulg.,indulg.,indulg.,indulg.,,,1|2|3|4|5|6|7|8|9|10
indulg.,indulgere,,4,"indulge, induls, indult",e-Konj.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
ingr.,ingredi,eintreten (ins Kloster);,,"ingred, -, ingress",halbkons.-Konj. (Dep.),,ingr.,ingr.,ingr.,ingr.,ingr.,ingr.,ingr.,ingr.,,,1|2|3|4|5|6|7|8|9|10
ingr.,ingressio,Eintritt,,ingression -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
ingr.,ingressus,eingetreten;,,ingress -i,o/a (Adj.),,ingr.,ingr.,ingr.,ingr.,ingr.,ingr.,ingr.,ingr.,,,1|2|3|4|5|6|7|8|9|10
instit.,instituere,"einsetzen, einrichten",,"institu, institu, institut",kons.,,,instit.,instit.,instit.,instit.,instit.,instit.,instit.,,,3|4|5|6|7|8|9|10
instit.,institutio,,"in Bd. 2,4,6,8  laut Abk-Verz.",institution -is,kons.,,,,,,,,,,,,3|4|5|6|7|8|9|10
interd.,interdicere,,5.8,"interdic, interdix, interdict",kons.-Konj.,,,,,,,,,,,,2|4|5|6|7|8|9|10
interd.,interdictum,Interdikt,,interdict -i,o (n.),,interd.,,interd.,interd.,interd.,interd.,interd.,interd.,,,2|4|5|6|7|8|9|10
irreg.,irregularis,,"1,5,8",irregular -is,i/kons. ?,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
irreg.,irregularitas,"Irregularität, (Weihe-) Hindernis",,irregularitat -is,kons.,irreg.,irreg.,irreg.,irreg.,irreg.,irreg.,irreg.,irreg.,irreg.,,,1|2|3|4|5|6|7|8|9|10
iudic.,iudiciaria,,,iudiciari -e,a,,iudic.,iudic.,,,iudic.,,,,,,2|3|6
iudic.,iudicium,,,iurdici -i,o (n.),,,,,,,,,,,,2|3|6
iun.,iunior,der jüngere;,,iunior -is,kons.,iun.,iun.,iun.,iun.,iun.,iun.,iun.,iun.,iun.,,,1|2|3|4|5|6|7|8|9|10
iun.,iunius,Juni,,iuni -i,o,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
iunior.,iunior,der jüngere;,,iunior -is,kons.,,,,,,,,iunior.,,,,1|2|3|5|8|10
laic.,laicalis,"weltlich, Laien-",,laical -is,i (Adj.),,laic.,laic.,laic.,laic.,laic.,laic.,laic.,laic.,,,2|3|4|5|6|7|8|9|10
laic.,laicus,Laie;,,laic -i,o,,laic.,laic.,laic.,,laic.,laic.,laic.,laic.,,,2|3|4|5|6|7|8|9|10
legit.,legitimare,,,"legitim, legitimav, legitimat",a-Konj.,,,legit.,,legit.,,legit.,legit.,legit.,,,1|2|3|4|5|6|7|8|9|10
legit.,legitimatio,,,legitimation -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
legit.,legitimus,,,legitim -i,o/a (Adj.),,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
lic.,licentia,Erlaubnis,,licenti -e,a,lic.,lic.,lic.,lic.,lic.,lic.,lic.,lic.,lic.,,,1|2|3|4|5|6|7|8|9|10
lic.,licentiatus,Lizentiat (akademischer Grad),"in 2,4,6,7",,,,lic.,,lic.,,lic.,lic.,,,,,1|2|3|4|5|6|7|8|9|10
litig.,litigare,"streiten, prozessieren",,"litig, litigav, litigat",a-Konj.,,litig.,litig.,litig.,litig.,litig.,litig.,litig.,litig.,,,2|3|4|5|6|7|8|9|10
litig.,litigiosus,,7,litigios -i,o/a (Adj.),,,,,,,,,,,,2|3|4|5|6|7|8|9|10
loc.,locare,,,"loc, locav, locat",a-Konj.,,,,,,,,,,,,2|4|6
loc.,locus,,"2,4,6 ",loc -i,o,,loc.,,loc.,,loc.,,,,,,2|4|6
m.,mandare,befehlen;,,"mand, mandav, mandat",a-Konj.,m.,m.,m.,m.,m.,m.,m.,m.,m.,"ob der extrem häufigen Verwendung der Abkürzung ist mit sinnvollem Zeitaufwand nicht festzustellen, ob ""m."" wirklich in allen Bänden als Abkürzung für alle genannten Begriffe verwendet wird",,1|2|3|4|5|6|7|8|9|10
m.,mandatum,beauftragen; Auftrag;,,mandat -i,o (n.),m.,m.,m.,m.,m.,m.,m.,m.,m.,,,1|2|3|4|5|6|7|8|9|10
m.,manus,Hand,"2,3,4,5,7,8 v.a. in p.m.=per manus; und in ""in man."" 2,3,4",man -us,u,m.,m.,m.,m.,m.,m.,m.,m.,m.,siehe Erklärung zu m.=mandare etc.,,1|2|3|4|5|6|7|8|9|10
m.,marca,Mark;,,marc -e,a,m.,m.,m.,m.,m.,m.,m.,m.,m.,,,1|2|3|4|5|6|7|8|9|10
m.,memoria,,8,memori -e,a,,,,,,,,,,s. o.,,1|2|3|4|5|6|7|8|9|10
m.,murus,Mauer,v. a. in e. m. und i. m.,mur -i,o,m.,m.,m.,m.,m.,m.,m.,m.,m.,,,1|2|3|4|5|6|7|8|9|10
man.,manus,Hand,"siehe m.;2,3,4,5,7,8 v.a. in p.m.=per manus; und in ""in man."" 2,3,4",man -us,u,,man.,man.,man.,,,,,,siehe Erklärung zu m.=mandare etc.,,4|10
mand.,mandare,befehlen;beauftragen,siehe m.,"mand, mandav, mandat",a-Konj.,,mand.,mand.,mand.,,,,,,"ob der extrem häufigen Verwendung der Abkürzung ist mit sinnvollem Zeitaufwand nicht festzustellen, ob ""m."" wirklich in allen Bänden als Abkürzung für alle genannten Begriffe verwendet wird",,2|3|4
mand.,mandatum,beauftragen; Auftrag;,,mandat -i,o (n.),,mand.,mand.,mand.,,,,,,,,2|3|4
mandat.,mandatum,beauftragen; Auftrag;,,mandat -i,o (n.),,,mandat.,,,,,,,,,3|10
marc.,marca,Mark;,siehe m.,marc -e,a,,,marc.,marc.,,,marc.,,,,,3|4|7
mart.,martir,Märtyrer,"4 martyr; 6,7 martir; martir. =martir (is etc.) in 5,8; mart.= beides in 9",martir/martyr -is ?,,mart.,mart.,mart.,mart.,mart.,mart.,mart.,mart.,mart.,,,1|2|3|4|5|6|7|8|9|10
mart.,martius,März,,,,mart.,mart.,mart.,mart.,mart.,mart.,mart.,mart.,mart.,,,1|2|3|4|5|6|7|8|9|10
martir.,martir,Märtyrer,"4 martyr; 6,7 martir; martir. =martir (is etc.) in 5,8; mart.= beides in 9",martir/martyr -is ?,,,martir.,,,martir.,,,martir.,,,,2|5|8
med.,medicina,Medizin,,medicin -e,a,,med.,med.,med.,med.,med.,med.,med.,med.,,,2|3|4|5|6|7|8|9|10
med.,medius,,3,medi -i,o/a (Adj.),,,,,,,,,,,,2|3|4|5|6|7|8|9|10
mil.,miles,Ritter;,,milit -is,kons.,,mil.,mil.,mil.,mil.,mil.,mil.,mil.,mil.,,,2|3|4|5|6|7|8|9|10
mil.,milia,,4,mili -um,i (n.) (Pl.),,mil.,mil.,mil.,mil.,mil.,mil.,mil.,mil.,"wahrscheinlich nicht in allen Bänden als Abk. für ""milia"" verwendet, doch auch nicht auszuschließen",,2|3|4|5|6|7|8|9|10
mil.,militaris,ritterlich,,militar -is,i/kons. (Adj.) ?,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
milit.,miles,Ritter;,,milit -is,kons.,,milit.,milit.,milit.,,,,,,,,2|3|4
milit.,militaris,ritterlich,,,,,,,,,,,,,,,2|3|4
min.,minor,"der geringere, kleinere;",,minor -is,kons.,min.,min.,min.,min.,min.,min.,min.,min.,min.,,,1|2|3|4|5|6|7|8|9|10
min.,minutus,klein,,minut -i,o/a (Adj.),,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
min. serv.,minuta servitia,,siehe serv. min.,,,,,,,,,,,,,,3|4|5|7|8|9|10
nom.,nominare,,7.8,"nomin, nominav, nominat",a-Konj.,,,,,,nom.,nom.,nom.,,,,4|6|7|8
nom.,nominatio,,7.8,nomination -is,kons.,,,,,,,,,,,,4|6|7|8
nom.,nominatus,,4,nominat -i,o,,,,,,,,,,,,4|6|7|8
not.,notarius,Notar,,notari -i,o,not.,not.,not.,not.,not.,not.,not.,not.,not.,,,1|2|3|4|5|6|7|8|9|10
not.,notitia,,4,notiti -e,a,not.,not.,not.,not.,not.,not.,not.,not.,not.,,,1|2|3|4|5|6|7|8|9|10
o.,obitus,Tod;,,obit -us,u,o.,o.,o.,o.,o.,o.,o.,o.,o.,"nicht zu entscheiden, ob ""o."" in der Bedeutung ""obitus"" nicht in einem oder mehreren Bänden nicht verwendet wurde",,1|2|3|4|5|6|7|8|9|10
o.,obligatio,,4 und möglicherweise auch in anderen Bd. ; siehe oblig.,obligation -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
o.,obstante,,siehe n. o.,,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
o.,obstantibus,,siehe n. o.,,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
o.,ordo,Orden,siehe ord.,ordin -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
o. Carm.,ordo Carmelitarum,Karmeliterorden,siehe Extraseite Orden,,,,,,,,,,,,,,3|4|5|6|7|8|9|10
o. Cartus.,ordo Cartusiensis,Kartäuserorden,siehe Extraseite Orden,,,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
ob.,obitus,Tod;,,obit -us,u,ob.,,ob.,,,,,,,"nicht zu entscheiden, ob ""o."" in der Bedeutung ""obitus"" nicht in einem oder mehreren Bänden nicht verwendet wurde",,1|2|3|4|5|6|7|8|9|10
observ.,observantia,(strenge) Beobachtung (der Ordensregeln),,observanti -e,a,,,observ.,observ.,observ.,observ.,observ.,observ.,observ.,,,3|4|5|6|7|8|9|10
observ.,observare,,7.8,"observ, observav, observat",a-Konj.,,,,,,,,,,,,3|4|5|6|7|8|9|10
observ.,observatio,,7.8,observation -is,kons.,,,,,,,,,,,,3|4|5|6|7|8|9|10
off.,officialis,Offizial,,official -is,i ?,,,,,,,,,,vermutlich in Bd. 1 und möglicherweise auch in anderen Bänden für officialis verwendet,,
off.,officium,Amt; (Gottes-)Dienst,,offici -i,o (n.),off.,off.,off.,,off.,off.,off.,off.,off.,,,1|2|3|5|6|7|8|9|10
offic.,officialis,Offizial,,official -is,i ?,,offic.,offic.,offic.,offic.,offic.,offic.,offic.,offic.,,,2|3|4|5|6|7|8|9|10
offic.,officium,Amt; (Gottes-)Dienst,,offici -i,o (n.),,offic.,,offic.,,,,,,"in 2 und 4 laut Abk-Verz.; vermutlich in Bd. 4 und möglicherweise auch in anderen Bänden Abk. ""offic."" verwendet",,2|3|4|5|6|7|8|9|10
op.,opidum,Stadt,,opid/oppid -i,o (n.),op.,op.,op.,op.,op.,op.,op.,op.,op.,,,1|2|3|4|5|6|7|8|9|10
op.,oppidum,Stadt,,opid/oppid -i,o (n.),op.,op.,op.,op.,op.,op.,op.,op.,op.,,,1|2|3|4|5|6|7|8|9|10
op.,opidanus,Stadtbewohner,,opidan -i,o,,,,,,,,,,möglicherweise auch für opidanus verwendet,,1|2|3|4|5|6|7|8|9|10
opid.,opidum,(Stadt),,,,,,,,,,,,,"nicht sicher, ob wirklich verwendet",,2|3|4|5|6|7|8|9
opid.,oppidum,(Stadt),,,,,,,,,,,,,"nicht sicher, ob wirklich verwendet",,2|3|4|5|6|7|8|9
opid.,opidanus,Stadtbewohner,,opidan -i,o,,opid.,opid.,opid.,opid.,opid.,opid.,opid.,,,,2|3|4|5|6|7|8|9
ord.,ordinaria,,"2 nicht ordo, sondern ordinaria/us",,,ord.,ord.,ord.,ord.,ord.,ord.,ord.,ord.,ord.,,,1|2|3|4|5|6|7|8|9|10
ord.,ordinarius,"Ordinarius, zuständige kirchliche Obere (meist: Bischof)",ord. 2,ordinari -i,o,ord.,ord.,ord.,ord.,ord.,ord.,ord.,ord.,ord.,"nicht zu entscheiden, ob ""ord."" auch in anderen Bänden außer 2 für ""ordinarius/a"" steht, sicherheitshalber bei allen Bänden mit aufgeführt",,1|2|3|4|5|6|7|8|9|10
ord.,ordo,Weihegrad; Orden,,ordin -is,kons.,ord.,ord.,ord.,ord.,ord.,ord.,ord.,ord.,ord.,"Als Abk. für Orden meist ""o."" in Abk.-Kombinationen verwendet",,1|2|3|4|5|6|7|8|9|10
ordin.,ordinare,,8,"ordin, ordinav, ordinat",a-Konj.,,,,,,,,,,,,3|4|5|7|8|9|10
ordin.,ordinaria,,,,,,,ordin.,ordin.,ordin.,,ordin.,ordin.,ordin.,,,3|4|5|7|8|9|10
ordin.,ordinarius,"Ordinarius, zuständige kirchliche Obere (meist: Bischof)",ord. 2,ordinari -i,o,,,ordin.,ordin.,ordin.,,ordin.,ordin.,ordin.,"nicht zu entscheiden, ob ""ord."" auch in anderen Bänden außer 2 für ""ordinarius/a"" steht, sicherheitshalber bei allen Bänden mit aufgeführt",,3|4|5|7|8|9|10
p.,presbiter,Priester;,siehe def. nat. (p. s.)/(p. c.),,,,,,,,,,,,,(nur bei def. nat.:),1|2|3|4|5|6|7|8|9|10
p.,parvus,klein;,siehe l. T. p.,parv -i,o/a (Adj.),,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
p.,per,durch;,,,,p.,p.,p.,p.,p.,p.,p.,p.,p.,,,1|2|3|4|5|6|7|8|9|10
p.,prebenda,,4 v.a. in c.r.p. und s.e.p.,prebend -e,a,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
p.,purus,rein,v. a. in m. a. p.,pur -i,o/a (Adj.),,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
par.,parens,Elternteil;,,parent -is,gem.,par.,par.,par.,par.,par.,par.,par.,par.,par.,,,1|2|3|4|5|6|7|8|9|10
par.,parentes,Eltern,,parent -um,gem.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
par.,parochialis,Pfarr-;,,parochial -is,i (Adj.),par.,par.,par.,par.,par.,par.,par.,par.,par.,,,1|2|3|4|5|6|7|8|9|10
patr.,patriarcha,,"in 2,3,4 auch andere Bedeutung",patriarch -e,a,patr.,patr.,patr.,patr.,,,,,,,,1|2|3|4
patr.,patronatus,Patronat;,"in in 2,4",patronat -us,u,,patr.,,patr.,,,,,,"möglicherweise ""patr."" in Bd. 1 und 3 für ""patronus/patronatus""",,1|2|3|4
patr.,patronus,Patron,"in 2,3",,,,,,,,,,,,,,1|2|3|4
patron.,patronatus,Patronat;,"patr. in 2,4",patronat -us,u,,patron.,patron.,patron.,patron.,patron.,patron.,patron.,patron.,"möglicherweise ""patr."" in Bd. 1 und 3 für ""patronus/patronatus""",,2|3|4|5|6|7|8|9|10
patron.,patronus,Patron,,patron -i,o,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
paup.,pauper,arm; Arme ?,,pauper -is,kons./gem. ?,,paup.,paup.,paup.,paup.,paup.,paup.,paup.,paup.,,,2|3|4|5|6|7|8|9|10
paup.,paupertas,,5,paupertat -is,kons.,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
pauper.,pauper,arm; Arme ?,,pauper -is,kons./gem. ?,,pauper.,,,,pauper.,,,,,,1|2|4|7|9|10
pen.,penitentiaria,"Pönitentiarie, päpstliches Bußamt;",pen. in Bd. 3,penitentiari -e,a,,,pen.,,,,,,,,,3|4
penit.,penitentiaria,"Pönitentiarie, päpstliches Bußamt;",pen. in Bd. 3,penitentiari -e,a,,penit.,,penit.,penit.,penit.,penit.,penit.,penit.,,,2|4|5|6|7|8|9|10
penit.,penitentiarius,Pönitentiar,,penitentiari -i,o,,,,,,,,,,,,2|4|5|6|7|8|9|10
perm.,permutare,tauschen;,,"permut, permutav, permutat",a-Konj.,,perm.,,perm.,perm.,perm.,perm.,perm.,perm.,,,2|3|4|5|6|7|8|9|10
perm.,permutatio,Tausch,,permutation -is,kons.,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
permut.,permutare,tauschen;,siehe perm.,"permut, permutav, permutat",a-Konj.,,permut.,permut.,,,,,,,,,3
permut.,permutatio,Tausch,,,,,,,,,,,,,,,3
pleban.,plebanatus,Amt des Pfarrers;,pleban. in 3 steht nur für plebanus laut Abk-Verz,plebanat -us,u,pleban.,pleban.,pleban.,pleban.,pleban.,pleban.,pleban.,pleban.,pleban.,"in 3 laut Abk-Verzeichnis Bd. 3 bedeutet ""pleban."" nur plebanus, nicht plebanatus; doch fraglich ob Angabe zuverlässig",,1|2|3|4|5|6|7|8|9|10
pleban.,plebania,Pfarrei,,plebani -e,a,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
pleban.,plebanus,Pfarrer,"in 1,3",pleban -i,o,pleban.,,pleban.,,,,,,,"in 3 laut Abk-Verzeichnis Bd. 3 bedeutet ""pleban."" = plebanus; vermutlich auch in Bd. 1",,1|2|3|4|5|6|7|8|9|10
plen.,plenarius,vollkommen;,,plenari -i,o/a (Adj.),plen.,plen.,plen.,plen.,plen.,plen.,plen.,plen.,plen.,,,1|2|3|4|5|6|7|8|9|10
plen.,plenus,voll,,plen -i,o/a (Adj.),,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
port.,portatilis,"tragbar, Trag-",,portatil -is,i (Adj.) ?,port.,port.,port.,port.,port.,port.,port.,port.,port.,,,1|2|3|4|5|6|7|8|9|10
port.,portio,,8,portion -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
possess.,possessio,,,possession -is,kons.,,possess.,possess.,possess.,possess.,,,,,,,2|3|4|5
possess.,possessor,,,possessor -is,kons.,,,,,,,,,,,,2|3|4|5
precept.,preceptor,"Präzeptor, Vorsteher;",,preceptor -is,kons.,precept.,precept.,precept.,precept.,precept.,precept.,precept.,precept.,precept.,,,1|2|3|4|5|6|7|8|9|10
precept.,preceptoria,Amt/Stelle eines Präzeptors,,preceptori -e,a,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
preceptor.,preceptor,"Präzeptor, Vorsteher;",siehe precept.,preceptor -is,kons.,,,preceptor.,,preceptor.,,,,,,,1|2|4|5|7|8|9|10
preceptor.,preceptoria,Amt/Stelle eines Präzeptors,,,,,,,,,,,,,,,1|2|4|5|7|8|9|10
prepos.,prepositatus,Amt des Propstes;,,prepositat -us,u,prepos.,prepos.,prepos.,prepos.,prepos.,prepos.,prepos.,prepos.,prepos.,,,1|2|3|4|5|6|7|8|9|10
prepos.,prepositura,Propstei,,prepositur -e,a,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
presbit.,presbiteralis,Priester-,auch presbiterialis; presbyterialis,presbiteral/presbiterial/presbyteral/presbyterial -is,i (Adj.),,,,,,,,,,,,3|4|5|6|7|8|9|10
presbit.,presbiteratus,Priesteramt?,,presbiterat -us,u,,,,presbit.,presbit.,,presbit.,presbit.,presbit.,,,3|4|5|6|7|8|9|10
presbiter.,presbiteralis,Priester-,,,,,,,,,,,,,,,6
presbiter.,presbiteratus,Priesteramt?,,presbiterat -us,u,,,,presbiter.,,presbiter.,,,,,,6
present.,presens,gegenwärtig; anwesend; vorliegend,,present -is,kons.,,,,,,,,,,unklar ob present. für presens verwendet wurde,,2|3|4|5|6|8|9|10
present.,presentare,"präsentieren, vorschlagen;","pres. 2,4; presentat. 3","present, presentav, presentat",a-Konj.,,present.,present.,present.,present.,present.,,present.,present.,,,2|3|4|5|6|8|9|10
present.,presentatio,"Präsentation, Vorschlag(-srecht)",,presentation -is,kons.,,,,,,,,,,,,2|3|4|5|6|8|9|10
